,Index,Title,Link,DatePublished,negative,neutral,positive,compound,sentiment
16,16,Djibouti’s new port scheme excludes Ethiopia from the mix,https://www.capitalethiopia.com/2023/06/12/djiboutis-new-port-scheme-excludes-ethiopia-from-the-mix/,06-12-2023,0.009,0.911,0.079,0.9719,positive
17,17,"All eyes on finance, as the Capital hosts anticipated summit",https://www.capitalethiopia.com/2023/06/12/all-eyes-on-finance-as-the-capital-hosts-anticipated-summit/,06-12-2023,0.0,0.799,0.201,0.9932,positive
18,18,"Tele, City Admin solidify agreement to harbor digital Ethiopia",https://www.capitalethiopia.com/2023/06/12/tele-city-admin-solidify-agreement-to-harbor-digital-ethiopia/,06-12-2023,0.0,0.862,0.138,0.9413,positive
19,19,SAF production set for continued growth but needs policy support to...,https://www.capitalethiopia.com/2023/06/12/saf-production-set-for-continued-growth-but-needs-policy-support-to-diversify-sources-of-production/,06-12-2023,0.031,0.767,0.202,0.9952,positive
20,20,Awash Bank’s ‘Tatariwochu’ winners scoop rewards,https://www.capitalethiopia.com/2023/06/12/awash-banks-tatariwochu-winners-scoop-rewards/,06-12-2023,0.0,0.652,0.348,0.9972,positive
21,21,Logistics elite receive FIATA Diploma,https://www.capitalethiopia.com/2023/06/12/logistics-elite-receive-fiata-diploma/,06-12-2023,0.009,0.833,0.159,0.9866,positive
22,22,Finance Ministry locks in a lean budget with self reliance at...,https://www.capitalethiopia.com/2023/06/11/finance-ministry-locks-in-a-lean-budget-with-self-reliance-at-heart/,06-11-2023,0.064,0.786,0.151,0.9935,positive
23,23,Gov’t postures post war strategic bounce back,https://www.capitalethiopia.com/2023/06/10/govt-postures-post-war-strategic-bounce-back/,06-10-2023,0.109,0.722,0.169,0.9601,positive
24,24,Global experience set to shape Ethiopia’s water action agenda,https://www.capitalethiopia.com/2023/06/05/global-experience-set-to-shape-ethiopias-water-action-agenda/,06-05-2023,0.017,0.79,0.192,0.9951,positive
25,25,Unlocking digital Ethiopia: Experts converge on consumer protection views,https://www.capitalethiopia.com/2023/06/05/unlocking-digital-ethiopia-experts-converge-on-consumer-protection-views/,06-05-2023,0.091,0.744,0.165,0.9806,positive
26,26,TECNO unfolds its flagship foldable phone in Ethiopia,https://www.capitalethiopia.com/2023/06/05/tecno-unfolds-its-flagship-foldable-phone-in-ethiopia/,06-05-2023,0.0,0.771,0.229,0.9935,positive
27,27,UN Special Envoy visit Ethiopia to promote road safety,https://www.capitalethiopia.com/2023/06/05/un-special-envoy-visit-ethiopia-to-promote-road-safety/,06-05-2023,0.119,0.666,0.214,0.9764,positive
28,28,Africa is embracing the AI innovation wave but further investment will...,https://www.capitalethiopia.com/2023/06/05/africa-is-embracing-the-ai-innovation-wave-but-further-investment-will-harness-its-full-potential-say-experts-at-gitex-africa/,06-05-2023,0.039,0.798,0.163,0.9964,positive
29,29,"Afar, SNNP Regions to receive health boost courtesy of UNOPS, Italy...",https://www.capitalethiopia.com/2023/06/05/afar-snnp-regions-to-receive-health-boost-courtesy-of-unops-italy-multi-million-euro-deal/,06-05-2023,0.092,0.728,0.18,0.9686,positive
30,30,Ethio Telecom plants a smart learning seed in Addis Ababa University,https://www.capitalethiopia.com/2023/06/05/ethio-telecom-plants-a-smart-learning-seed-in-addis-ababa-university/,06-05-2023,0.0,0.857,0.143,0.9661,positive
31,31,Zemen Bank’s HQ inaugurated,https://www.capitalethiopia.com/2023/06/02/zemen-banks-hq-inaugurated/,06-02-2023,0.0,0.962,0.038,0.4404,positive
32,32,"Brace for dry spell, depressed rainfall experts alarm",https://www.capitalethiopia.com/2023/05/29/brace-for-dry-spell-depressed-rainfall-experts-alarm/,05-29-2023,0.092,0.811,0.097,-0.1885,negative
33,33,Trade ministry goes at all lengths to align a proclamation,https://www.capitalethiopia.com/2023/05/29/trade-ministry-goes-at-all-lengths-to-align-a-proclamation/,05-29-2023,0.022,0.856,0.122,0.9758,positive
34,34,ATI hosts forum to leverage scientific research for agri-food resilience,https://www.capitalethiopia.com/2023/05/29/ati-hosts-forum-to-leverage-scientific-research-for-agri-food-resilience/,05-29-2023,0.032,0.769,0.2,0.9971,positive
35,35,African Ministers call for reforms of the IMF’s Special Drawing Rights...,https://www.capitalethiopia.com/2023/05/29/african-ministers-call-for-reforms-of-the-imfs-special-drawing-rights-system/,05-29-2023,0.02,0.89,0.089,0.9538,positive
36,36,Agrofood & plastprintpack Ethiopia 2023,https://www.capitalethiopia.com/2023/05/29/agrofood-plastprintpack-ethiopia-2023/,05-29-2023,0.0,0.945,0.055,0.4939,positive
37,37,Global tech community’s commitment to advancing African digital economy,https://www.capitalethiopia.com/2023/05/29/global-tech-communitys-commitment-to-advancing-african-digital-economy/,05-29-2023,0.004,0.768,0.228,0.9995,positive
38,38,"LAPSSET Ministerial Council adopts “Juba Commitments” to Fast-Track Infrastructure, Trade and...",https://www.capitalethiopia.com/2023/05/29/lapsset-ministerial-council-adopts-juba-commitments-to-fast-track-infrastructure-trade-and-integration/,05-29-2023,0.0,0.827,0.173,0.9901,positive
39,39,"Grant Thornton, CFI ink momentous deal",https://www.capitalethiopia.com/2023/05/23/grant-thornton-cfi-ink-momentous-deal/,05-23-2023,0.011,0.849,0.14,0.9744,positive
40,40,"Wingu, Ride partner to provide swift services to customers",https://www.capitalethiopia.com/2023/05/22/wingu-ride-partner-to-provide-swift-services-to-customers/,05-22-2023,0.029,0.779,0.192,0.9748,positive
41,41,New trade policy promises to liberate the country,https://www.capitalethiopia.com/2023/05/22/new-trade-policy-promises-to-liberate-the-country/,05-22-2023,0.029,0.787,0.184,0.9945,positive
42,42,"Real Estate powerhouse Flintstone Homes, preps to sells share in July",https://www.capitalethiopia.com/2023/05/22/real-estate-powerhouse-flintstone-homes-preps-to-sells-share-in-july/,05-22-2023,0.043,0.816,0.14,0.9657,positive
43,43,Ahadu banks deal for its digital payment gateway,https://www.capitalethiopia.com/2023/05/22/ahadu-banks-deal-for-its-digital-payment-gateway/,05-22-2023,0.05,0.783,0.167,0.9705,positive
44,44,Gov’t shines light on demerits of spending big on construction,https://www.capitalethiopia.com/2023/05/22/govt-shines-light-on-demerits-of-spending-big-on-construction/,05-22-2023,0.033,0.774,0.193,0.9963,positive
45,45,EDR completes maiden heavy truck transport on rail,https://www.capitalethiopia.com/2023/05/22/edr-completes-maiden-heavy-truck-transport-on-rail/,05-22-2023,0.0,0.89,0.11,0.9501,positive
46,46,Nyala Motors celebrates its golden jubilee,https://www.capitalethiopia.com/2023/05/22/nyala-motors-celebrates-its-golden-jubilee/,05-22-2023,0.0,0.946,0.054,0.8519,positive
47,47,Ministerial Forum a top feature at Big 5 Construct Ethiopia,https://www.capitalethiopia.com/2023/05/15/ministerial-forum-a-top-feature-at-big-5-construct-ethiopia/,05-15-2023,0.015,0.829,0.157,0.9864,positive
48,48,World’s leading coffee guide launches Amharic edition,https://www.capitalethiopia.com/2023/05/15/worlds-leading-coffee-guide-launches-amharic-edition/,05-15-2023,0.016,0.837,0.147,0.9843,positive
49,49,Inaugural GITEX Africa shows high global interests in Africa,https://www.capitalethiopia.com/2023/05/15/inaugural-gitex-africa-shows-high-global-interests-in-africa/,05-15-2023,0.005,0.795,0.2,0.9995,positive
50,50,UN Committee against torture publishes findings on Ethiopia,https://www.capitalethiopia.com/2023/05/15/un-committee-against-torture-publishes-findings-on-ethiopia/,05-15-2023,0.312,0.576,0.112,-0.9978,negative
51,51,"‘Don’t detain journalists for doing their job,” lament Ethiopia’s media houses...",https://www.capitalethiopia.com/2023/05/08/dont-detain-journalists-for-doing-their-job-lament-ethiopias-media-houses-in-press-freedom-celebrations/,05-08-2023,0.173,0.66,0.167,0.8555,positive
52,52,Green Tech Africa trains Ethiopia’s auto technicians of tomorrow,https://www.capitalethiopia.com/2023/05/08/green-tech-africa-trains-ethiopias-auto-technicians-of-tomorrow/,05-08-2023,0.007,0.868,0.125,0.9946,positive
53,53,Ethiopian Shipping and Logistics eyes new RoRo hub,https://www.capitalethiopia.com/2023/05/08/ethiopian-shipping-and-logistics-eyes-new-roro-hub/,05-08-2023,0.027,0.877,0.096,0.9752,positive
54,54,USD 155 million tagged Ethiopian Skylight Hotel opens for business,https://www.capitalethiopia.com/2023/05/08/usd-155-million-tagged-ethiopian-skylight-hotel-opens-for-business/,05-08-2023,0.0,0.95,0.05,0.875,positive
55,55,54 Capital FMCG joins the SAMANU umbrella,https://www.capitalethiopia.com/2023/05/08/54-capital-fmcg-joins-the-samanu-umbrella/,05-08-2023,0.0,0.742,0.258,0.9912,positive
56,56,Recurrent conflict smacks SMEs out of business,https://www.capitalethiopia.com/2023/05/08/recurrent-conflict-smacks-smes-out-of-business/,05-08-2023,0.108,0.672,0.221,0.9972,positive
57,57,Trade Ministry lifts restrictions imposed on Hararge Khat,https://www.capitalethiopia.com/2023/05/02/trade-ministry-lifts-restrictions-imposed-on-hararge-khat/,05-02-2023,0.105,0.828,0.067,-0.8481,negative
58,58,"“We are not a pyramid scheme business,” ETCARE declares",https://www.capitalethiopia.com/2023/05/02/we-are-not-a-pyramid-scheme-business-etcare-declares/,05-02-2023,0.078,0.767,0.155,0.9846,positive
59,59,"UNECA, ITU celebrate Int’l Girls in ICT Day to bridge the...",https://www.capitalethiopia.com/2023/05/02/uneca-itu-celebrate-intl-girls-in-ict-day-to-bridge-the-digital-gender-divide/,05-02-2023,0.011,0.775,0.214,0.9971,positive
60,60,"Addis hosts AMR regional summit, WHO calls for collective action",https://www.capitalethiopia.com/2023/05/02/addis-hosts-amr-regional-summit-who-calls-for-collective-action/,05-02-2023,0.113,0.804,0.083,-0.9337,negative
61,61,Cheshire Ethiopia celebrating 60th anniversary,https://www.capitalethiopia.com/2023/05/02/cheshire-ethiopia-celebrating-60th-anniversary/,05-02-2023,0.048,0.77,0.182,0.9887,positive
62,62,DMP Rail Terminal launches freight to transport life saving goods for...,https://www.capitalethiopia.com/2023/05/02/dmp-rail-terminal-launches-freight-to-transport-life-saving-goods-for-wfp/,05-02-2023,0.019,0.815,0.166,0.9876,positive
63,63,Inflation registers new highs,https://www.capitalethiopia.com/2023/05/02/inflation-registers-new-highs/,05-02-2023,0.004,0.87,0.125,0.9862,positive
64,64,Stay Easy Plus Hotel glitters for hospitality exploration,https://www.capitalethiopia.com/2023/04/24/stay-easy-plus-hotel-glitters-for-hospitality-exploration/,04-24-2023,0.0,0.888,0.112,0.9682,positive
65,65,Ethiopian Airlines hopeful to get shares of Nigeria Air as it...,https://www.capitalethiopia.com/2023/04/24/ethiopian-airlines-hopeful-to-get-shares-of-nigeria-air-as-it-sets-to-start-operation-in-may/,04-24-2023,0.012,0.894,0.094,0.9649,positive
66,66,"Capital Newspaper, SAMANU pair for social impact",https://www.capitalethiopia.com/2023/04/24/capital-newspaper-samanu-pair-for-social-impact/,04-24-2023,0.028,0.811,0.161,0.9686,positive
67,67,"Customs commission leverages telebirr to settle tax, payments",https://www.capitalethiopia.com/2023/04/24/customs-commission-leverages-telebirr-to-settle-tax-payments/,04-24-2023,0.042,0.806,0.152,0.9828,positive
68,68,Ethiopian Airlines preps to host the 11th edition of aviation stakeholder’s...,https://www.capitalethiopia.com/2023/04/24/ethiopian-airlines-preps-to-host-the-11th-edition-of-aviation-stakeholders-convention/,04-24-2023,0.011,0.809,0.18,0.9837,positive
69,69,Djiboutian customs and operators on the same wavelength,https://www.capitalethiopia.com/2023/04/24/djiboutian-customs-and-operators-on-the-same-wavelength/,04-24-2023,0.063,0.848,0.089,0.5719,positive
70,70,Sudan’s top general says military committed to civilian rule,https://www.capitalethiopia.com/2023/04/24/sudans-top-general-says-military-committed-to-civilian-rule/,04-24-2023,0.176,0.736,0.088,-0.9974,negative
71,71,The first in-person AfCFTA Business Forum set to take place in...,https://www.capitalethiopia.com/2023/04/17/the-first-in-person-afcfta-business-forum-set-to-take-place-in-cape-town/,04-17-2023,0.012,0.749,0.239,0.9978,positive
72,72,Reefer containers arrive in Djibouti ready for business,https://www.capitalethiopia.com/2023/04/17/reefer-containers-arrive-in-djibouti-ready-for-business/,04-17-2023,0.011,0.869,0.12,0.9944,positive
73,73,"IMF predicts slow growth for Sub-Saharan Africa in 2023, but sees...",https://www.capitalethiopia.com/2023/04/17/imf-predicts-slow-growth-for-sub-saharan-africa-in-2023-but-sees-a-rebound-in-2024/,04-17-2023,0.039,0.825,0.136,0.9756,positive
74,74,"Agrilevante, the agricultural technology exhibition",https://www.capitalethiopia.com/2023/04/17/agrilevante-the-agricultural-technology-exhibition/,04-17-2023,0.0,0.811,0.189,0.9963,positive
75,75,Reforming global aid and finance would make ending hunger an ‘affordable...,https://www.capitalethiopia.com/2023/04/17/reforming-global-aid-and-finance-would-make-ending-hunger-an-affordable-goal-finds-new-report/,04-17-2023,0.075,0.737,0.189,0.9922,positive
76,76,More than 2.3 million children out of school in northern Ethiopia...,https://www.capitalethiopia.com/2023/04/17/more-than-2-3-million-children-out-of-school-in-northern-ethiopia-despite-peace-agreement/,04-17-2023,0.235,0.648,0.117,-0.9946,negative
77,77,Agribusiness takes root at the banks of River Bilate,https://www.capitalethiopia.com/2023/04/10/agribusiness-takes-root-at-the-banks-of-river-bilate/,04-10-2023,0.025,0.849,0.126,0.9943,positive
78,78,IATA’s “Focus Africa” to Strengthen Aviation’s Contribution to African Development,https://www.capitalethiopia.com/2023/04/10/iatas-focus-africa-to-strengthen-aviations-contribution-to-african-development/,04-10-2023,0.073,0.727,0.199,0.9949,positive
79,79,Arifpay integrates with EthSwitch to propel country’s payment industry,https://www.capitalethiopia.com/2023/04/10/arifpay-integrates-with-ethswitch-to-propel-countrys-payment-industry/,04-10-2023,0.01,0.68,0.31,0.9939,positive
80,80,DMP switches to international transshipment of vehicles,https://www.capitalethiopia.com/2023/04/10/dmp-switches-to-international-transshipment-of-vehicles/,04-10-2023,0.011,0.851,0.139,0.9705,positive
81,81,"Ethio-Telecom, Federal Supreme court couple to digitize judicial system",https://www.capitalethiopia.com/2023/04/10/ethio-telecom-federal-supreme-court-couple-to-digitize-judicial-system/,04-10-2023,0.0,0.619,0.381,0.9958,positive
82,82,DMP begins export of oil from Golden Africa Djibouti,https://www.capitalethiopia.com/2023/04/10/dmp-begins-export-of-oil-from-golden-africa-djibouti/,04-10-2023,0.018,0.913,0.069,0.7269,positive
83,83,Rice debuts at ECX’s trading floor,https://www.capitalethiopia.com/2023/04/10/rice-debuts-at-ecxs-trading-floor/,04-10-2023,0.011,0.898,0.092,0.891,positive
84,84,Ethiopia’s logistics leadership shifts gear,https://www.capitalethiopia.com/2023/04/03/ethiopias-logistics-leadership-shifts-gear/,04-03-2023,0.0,0.928,0.072,0.9325,positive
85,85,"Electricity policies, regulatory frameworks deemed critical in sparking private investment in...",https://www.capitalethiopia.com/2023/04/03/electricity-policies-regulatory-frameworks-deemed-critical-in-sparking-private-investment-in-africa/,04-03-2023,0.023,0.746,0.232,0.9976,positive
86,86,Huawei stands steadfast despite 69 percent decline in profit,https://www.capitalethiopia.com/2023/04/03/huawei-stands-steadfast-despite-69-percent-decline-in-profit/,04-03-2023,0.017,0.756,0.227,0.9966,positive
87,87,PACCI asked African governments to speed up processes towards the full...,https://www.capitalethiopia.com/2023/04/03/pacci-asked-african-governments-to-speed-up-processes-towards-the-full-realisation-of-the-afcfta/,04-03-2023,0.077,0.789,0.133,0.9001,positive
88,88,"Teen, young adult care project – Wubanchi launches a second phase",https://www.capitalethiopia.com/2023/04/03/teen-young-adult-care-project-wubanchi-launches-a-second-phase/,04-03-2023,0.129,0.716,0.155,0.2732,positive
89,89,"AENCon23 to fast-track renewable energy investment in Ethiopia, Tanzania",https://www.capitalethiopia.com/2023/04/03/aencon23-to-fast-track-renewable-energy-investment-in-ethiopia-tanzania/,04-03-2023,0.011,0.7,0.289,0.9978,positive
90,90,Trade Ministry in works to revitalize chambers of commerce law,https://www.capitalethiopia.com/2023/03/27/trade-ministry-in-works-to-revitalize-chambers-of-commerce-law/,03-27-2023,0.059,0.758,0.184,0.9851,positive
91,91,"Ethiopia’s closed financial doors hamper climate financing, new report reveals",https://www.capitalethiopia.com/2023/03/27/ethiopias-closed-financial-doors-hamper-climate-financing-new-report-reveals/,03-27-2023,0.067,0.807,0.126,0.9578,positive
92,92,Ethiopian delegates visit Djibouti to iron out customs issues,https://www.capitalethiopia.com/2023/03/27/ethiopian-delegates-visit-djibouti-to-iron-out-customs-issues/,03-27-2023,0.031,0.879,0.09,0.9371,positive
93,93,Ethiopia launches National Food and Nutrition Strategy Baseline Survey Report,https://www.capitalethiopia.com/2023/03/27/ethiopia-launches-national-food-and-nutrition-strategy-baseline-survey-report/,03-27-2023,0.034,0.807,0.159,0.9891,positive
94,94,Private sector deemed key to unlocking AfCFTA potential,https://www.capitalethiopia.com/2023/03/27/private-sector-deemed-key-to-unlocking-afcfta-potential/,03-27-2023,0.041,0.765,0.194,0.9936,positive
95,95,World known neurovascular interventionist shares experience with Ethiopian health professional,https://www.capitalethiopia.com/2023/03/20/world-known-neurovascular-interventionist-shares-experience-with-ethiopian-health-professional/,03-20-2023,0.0,0.746,0.254,0.9403,positive
96,96,"Local problems, local solutions: Agriprenuer eyes to bridge gap in edible...",https://www.capitalethiopia.com/2023/03/20/local-problems-local-solutions-agriprenuer-eyes-to-bridge-gap-in-edible-oils/,03-20-2023,0.026,0.862,0.112,0.9878,positive
97,97,UNECA report reveals hope of growth for Africa’s GDP,https://www.capitalethiopia.com/2023/03/20/uneca-report-reveals-hope-of-growth-for-africas-gdp/,03-20-2023,0.09,0.759,0.151,0.9796,positive
98,98,Oromia region lifts wheat price cap,https://www.capitalethiopia.com/2023/03/20/oromia-region-lifts-wheat-price-cap/,03-20-2023,0.092,0.817,0.091,-0.7538,negative
99,99,Northern Africa OTF 2023,https://www.capitalethiopia.com/2023/03/15/northern-africa-otf-2023/,03-15-2023,0.017,0.765,0.218,0.9944,positive
100,100,"UNECA amplifies joint partnership to unlock challenges faced by landlocked, small...",https://www.capitalethiopia.com/2023/03/13/uneca-amplifies-joint-partnership-to-unlock-challenges-faced-by-landlocked-small-islands-nations/,03-13-2023,0.083,0.737,0.179,0.9939,positive
101,101,"UN, French embassy host forum to light a digital pathway for...",https://www.capitalethiopia.com/2023/03/13/un-french-embassy-host-forum-to-light-a-digital-pathway-for-women-girls/,03-13-2023,0.048,0.781,0.171,0.9814,positive
102,102,Government pledges to address obstacles of horticulture sector,https://www.capitalethiopia.com/2023/03/13/government-pledges-to-address-obstacles-of-horticulture-sector/,03-13-2023,0.042,0.824,0.134,0.8074,positive
103,103,Ethiopia Cup of Excellence suspended over country’s situational woes,https://www.capitalethiopia.com/2023/03/06/ethiopia-cup-of-excellence-suspended-over-countrys-situational-woes/,03-06-2023,0.08,0.751,0.169,0.9729,positive
104,104,DMP shifts to a higher gear following $7 million investment,https://www.capitalethiopia.com/2023/03/06/dmp-shifts-to-a-higher-gear-following-7-million-investment/,03-06-2023,0.004,0.773,0.224,0.9971,positive
105,105,Siinqee bank’s evolution starts on a high,https://www.capitalethiopia.com/2023/03/06/siinqee-banks-evolution-starts-on-a-high/,03-06-2023,0.016,0.814,0.17,0.9914,positive
106,106,Civil Aviation prepares incentive to woo private investors,https://www.capitalethiopia.com/2023/03/06/civil-aviation-prepares-incentive-to-woo-private-investors/,03-06-2023,0.021,0.812,0.167,0.9925,positive
107,107,"CBE, Safaricom Ethiopia deepen roots by inking MOU",https://www.capitalethiopia.com/2023/03/06/cbe-safaricom-ethiopia-deepen-roots-by-inking-mou/,03-06-2023,0.0,0.752,0.248,0.9833,positive
108,108,Leaders address carbon market potential,https://www.capitalethiopia.com/2023/02/27/leaders-address-carbon-market-potential/,02-27-2023,0.015,0.789,0.196,0.9938,positive
109,109,Ministry of Health double downs on immunization coverage following AU sensitization,https://www.capitalethiopia.com/2023/02/27/ministry-of-health-double-downs-on-immunization-coverage-following-au-sensitization/,02-27-2023,0.061,0.775,0.165,0.9944,positive
110,110,ZayRide founders add Abyssinia Cement to investment portfolio,https://www.capitalethiopia.com/2023/02/27/zayride-founders-add-abyssinia-cement-to-investment-portfolio/,02-27-2023,0.016,0.93,0.054,0.836,positive
111,111,"CCBA-Ethiopia announces plastic bottle subsidy, pledges up to 10 million birr",https://www.capitalethiopia.com/2023/02/27/ccba-ethiopia-announces-plastic-bottle-subsidy-pledges-up-to-10-million-birr/,02-27-2023,0.025,0.851,0.124,0.872,positive
112,112,"Preparations underway for the 59th annual medical conference, int’l health expo",https://www.capitalethiopia.com/2023/02/27/preparations-underway-for-the-59th-annual-medical-conference-intl-health-expo/,02-27-2023,0.0,0.803,0.197,0.9899,positive
113,113,Addis chamber opens int’l exhibition to connect domestic producers with foreign...,https://www.capitalethiopia.com/2023/02/27/addis-chamber-opens-intl-exhibition-to-connect-domestic-producers-with-foreign-markets/,02-27-2023,0.0,0.75,0.25,0.9799,positive
114,114,Millers express scare over market driven wheat shortages,https://www.capitalethiopia.com/2023/02/20/millers-express-scare-over-market-driven-wheat-shortages/,02-20-2023,0.083,0.88,0.037,-0.9207,negative
115,115,Falling coffee prices rattle Ethiopian exporters,https://www.capitalethiopia.com/2023/02/20/falling-coffee-prices-rattle-ethiopian-exporters/,02-20-2023,0.05,0.839,0.111,0.9371,positive
116,116,Ethiopian Shipping and Logistics signals desire to procure more trucks,https://www.capitalethiopia.com/2023/02/20/ethiopian-shipping-and-logistics-signals-desire-to-procure-more-trucks/,02-20-2023,0.043,0.879,0.078,0.9062,positive
117,117,BGI injects 500 million birr to face lift Meta Abo,https://www.capitalethiopia.com/2023/02/20/bgi-injects-500-million-birr-to-face-lift-meta-abo/,02-20-2023,0.006,0.895,0.099,0.946,positive
118,118,Ethiopia gains not so rosy returns on Valentine’s week flower export,https://www.capitalethiopia.com/2023/02/20/ethiopia-gains-not-so-rosy-returns-on-valentines-week-flower-export/,02-20-2023,0.056,0.822,0.122,0.9552,positive
119,119,Oromia bank embarks ‘Center of Excellence’ construction,https://www.capitalethiopia.com/2023/02/13/oromia-bank-embarks-center-of-excellence-construction/,02-13-2023,0.012,0.848,0.14,0.9716,positive
120,120,Gov’t internet censorship renders Ethiopia as among top internet axed nations,https://www.capitalethiopia.com/2023/02/13/govt-internet-censorship-renders-ethiopia-as-among-top-internet-axed-nations/,02-13-2023,0.165,0.793,0.042,-0.9879,negative
121,121,Church rifts ensue uncertain times,https://www.capitalethiopia.com/2023/02/13/church-rifts-ensue-uncertain-times/,02-13-2023,0.138,0.727,0.135,-0.9246,negative
122,122,Krones supports Menschen für Menschen,https://www.capitalethiopia.com/2023/02/13/krones-supports-menschen-fur-menschen/,02-13-2023,0.0,0.965,0.035,0.5574,positive
123,123,Military and police abuses are a key cause of Africa’s surge...,https://www.capitalethiopia.com/2023/02/13/military-and-police-abuses-are-a-key-cause-of-africas-surge-of-violent-extremism-un-study-finds/,02-13-2023,0.221,0.697,0.082,-0.9964,negative
124,124,CBE steps up in all angles making colossal gains,https://www.capitalethiopia.com/2023/02/06/cbe-steps-up-in-all-angles-making-colossal-gains/,02-06-2023,0.0,0.872,0.128,0.9899,positive
125,125,UN’s economic outlook projects inflation to moderate in Ethiopia,https://www.capitalethiopia.com/2023/02/06/uns-economic-outlook-projects-inflation-to-moderate-in-ethiopia/,02-06-2023,0.169,0.719,0.112,-0.9896,negative
126,126,Agrilevante 2023: the organisational machine is up and running,https://www.capitalethiopia.com/2023/02/06/agrilevante-2023-the-organisational-machine-is-up-and-running/,02-06-2023,0.012,0.807,0.181,0.9839,positive
127,127,Measles and cholera outbreaks pose deadly threat to already malnourished children,https://www.capitalethiopia.com/2023/02/06/measles-and-cholera-outbreaks-pose-deadly-threat-to-already-malnourished-children/,02-06-2023,0.212,0.694,0.094,-0.9957,negative
128,128,Norfund invests in SAMANU to increase production of edible oils,https://www.capitalethiopia.com/2023/02/06/norfund-invests-in-samanu-to-increase-production-of-edible-oils/,02-06-2023,0.004,0.737,0.259,0.9974,positive
129,129,Logistics giant ESLSE attains success mid budget year despite global bumps,https://www.capitalethiopia.com/2023/01/30/logistics-giant-eslse-attains-success-mid-budget-year-despite-global-bumps/,01-30-2023,0.057,0.833,0.11,0.9862,positive
130,130,ECX inks agreement with Ethiopian Artificial Intelligence Institute to launch online...,https://www.capitalethiopia.com/2023/01/30/ecx-inks-agreement-with-ethiopian-artificial-intelligence-institute-to-launch-online-trading/,01-30-2023,0.0,0.846,0.154,0.8591,positive
